node_id_from	node_id_to	weight
159870537	159870680	0.000279
290627719	290627718	0.000279
159884234	287864625	0.000280
299206182	299206184	0.000280
301736918	301736919	0.000280
159898191	284169011	0.000280
159869793	159869924	0.000280
89934558	1324739	0.000280
159898555	159898483	0.000281
1327777192	1327777191	0.000281
1225662750	1225662745	0.000281
159898685	141903935	0.000281
1268039027	1268039028	0.000282
159869733	288162641	0.000282
159798299	159798329	0.000282
159869941	159869463	0.000282
159862023	159862007	0.000282
302708856	1253231900	0.000283
159798172	159798206	0.000283
159798206	159798341	0.000283
1425417432	1425417370	0.000283
159798341	159798196	0.000283
159869814	159869947	0.000283
159898539	284160599	0.000284
310175901	94513209	0.000284
288205045	159870170	0.000284
859468955	159914793	0.000284
299206185	299206184	0.000284
301736601	284959156	0.000285
159950583	159950481	0.000285
159798399	159798113	0.000285
99304167	99304210	0.000285
1425431343	1425431342	0.000286
290642639	290642640	0.000286
290470327	301736972	0.000286
140964523	140964450	0.000286
284959163	289854604	0.000286
159870813	159869879	0.000287
159798399	159798206	0.000287
298728294	298728293	0.000287
290627716	290627715	0.000288
141900307	284161431	0.000288
159870306	159870721	0.000288
159936138	159936076	0.000288
299210237	298462852	0.000288
159870171	159870399	0.000288
287702365	287702366	0.000288
301736397	301736399	0.000289
1272718701	278009423	0.000289
301736600	301736602	0.000289
301736979	301736917	0.000289
159898634	159898597	0.000289
626811991	277946800	0.000290
140964388	140964605	0.000290
298728293	298728286	0.000290
159869534	159869813	0.000290
301736397	301736398	0.000290
159799858	159799899	0.000290
159861904	159861792	0.000290
299206198	299206194	0.000291
299206185	299206187	0.000291
159869674	288186211	0.000291
284790350	284790351	0.000292
159884462	159884690	0.000292
1298909851	159883843	0.000292
159870560	159870613	0.000292
99304145	99304173	0.000292
159870707	159870400	0.000293
298728312	298728311	0.000293
284160777	284160776	0.000293
141903980	141903944	0.000293
291711148	291711149	0.000293
290470348	290470349	0.000294
99304203	99304231	0.000294
140964534	140964629	0.000294
283924078	283924077	0.000294
657756346	657756344	0.000294
1267299920	1267299919	0.000294
1425417620	1425417619	0.000294
159883997	159884724	0.000294
1268874954	1268874953	0.000294
299210238	299210237	0.000294
159869480	159869647	0.000294
159216634	159216856	0.000294
159870706	159869941	0.000294
159869995	159869945	0.000294
299211825	298458281	0.000294
159861875	159862007	0.000295
141903971	284161426	0.000295
297848091	297848090	0.000295
159798378	159798305	0.000295
140964369	140964422	0.000295
159858866	159858931	0.000295
99304145	99304159	0.000295
159869855	159870226	0.000296
159870718	159870625	0.000296
298728287	298728288	0.000296
99304113	99304207	0.000296
140964419	140964641	0.000296
140964464	140964439	0.000297
159870026	159870557	0.000297
159869927	159869508	0.000297
159870366	159870064	0.000297
159798190	159798170	0.000297
299206172	299206174	0.000297
160993980	160993914	0.000298
288174891	159870767	0.000298
299206240	299206237	0.000298
301736983	301736978	0.000298
13187600	13187599	0.000298
159883935	274013622	0.000298
87384298	620226972	0.000298
993853417	159858623	0.000298
159798250	159798290	0.000298
